monthly_salary,city,city_living_cost_index,goal_type,goal_cost,timeline_years,income_growth_rate,monthly_living_cost,disposable_income,monthly_investment_required,investment_to_income_ratio,verdict
12000767,Bandung,4,Education,164710335,17,0.101,5000000,7000767,807404,0.1153,green
14199813,Jakarta Selatan,1,Higher Education,120000000,19,0.0865,8500000,5699813,526316,0.0923,green
20572362,Yogyakarta,6,Higher Education,120000000,26,0.0721,4000000,16572362,384615,0.0232,green
15241377,Jakarta Pusat,2,Wedding,80000000,13,0.0893,7500000,7741377,967000,0.1249,green
18856056,Surabaya,5,Property,1440000000,21,0.1181,5500000,13356056,5714286,0.4278,yellow
39332370,Semarang,9,Education,258122369,21,0.0685,3800000,35532370,1024295,0.0288,green
20016922,Jakarta Utara,3,Emergency Fund,36000000,26,0.099,6000000,14016922,410270,0.0293,green
7048483,Jakarta Pusat,2,Retirement,1800000000,27,0.1147,7500000,0,20741424,1.0,red
30965162,Surabaya,5,Emergency Fund,33000000,6,0.0363,5500000,25465162,614211,0.0241,green
52221539,Semarang,9,Custom,113359960,27,0.0766,3800000,48421539,1306248,0.027,green
11159402,Semarang,9,Emergency Fund,22800000,13,0.1197,3800000,7359402,275595,0.0374,green
37777857,Makassar,10,Custom,406715203,26,0.0581,4200000,33577857,4635084,0.138,green
35365406,Jakarta Selatan,1,Custom,77515781,28,0.0309,8500000,26865406,904381,0.0337,green
20625863,Jakarta Utara,3,Emergency Fund,36000000,16,0.0951,6000000,14625863,409289,0.028,green
6627182,Bali (Denpasar),8,Property,1188000000,24,0.1128,6500000,127182,4125000,2.0,red
22198935,Jakarta Pusat,2,Higher Education,150000000,15,0.0821,7500000,14698935,833333,0.0567,green
5154665,Yogyakarta,6,Retirement,3360000000,13,0.1417,4000000,1154665,40613982,2.0,red
6695438,Bandung,4,Wedding,80000000,30,0.0975,5000000,1695438,960432,0.5665,red
24714277,Medan,7,Retirement,1152000000,19,0.0878,3500000,21214277,12767748,0.6018,red
5292999,Surabaya,5,Retirement,1368000000,24,0.1293,5500000,0,15319225,1.0,red
59156267,Bandung,4,Higher Education,80000000,9,0.0436,5000000,54156267,740741,0.0137,green
23326476,Yogyakarta,6,Retirement,2640000000,6,0.0803,4000000,19326476,49136840,2.0,red
7259709,Medan,7,Emergency Fund,21000000,28,0.1159,3500000,3759709,245008,0.0652,green
40034832,Bali (Denpasar),8,Custom,462196401,22,0.0778,6500000,33534832,5121382,0.1527,green
14163085,Bali (Denpasar),8,Custom,100067561,18,0.0557,6500000,7663085,1114928,0.1455,green
22439300,Jakarta Utara,3,Retirement,2520000000,15,0.0647,6000000,16439300,29104995,1.7705,red
35655521,Semarang,9,Wedding,30000000,9,0.0493,3800000,31855521,430925,0.0135,green
20382696,Bali (Denpasar),8,Property,1980000000,21,0.0673,6500000,13882696,7857143,0.566,red
5418396,Bali (Denpasar),8,Retirement,1044000000,15,0.1115,6500000,0,12057783,1.0,red
13678449,Jakarta Utara,3,Custom,147760958,28,0.0528,6000000,7678449,1723935,0.2245,green
5218698,Makassar,10,Retirement,2232000000,28,0.1174,4200000,1018698,26040858,2.0,red
6283959,Semarang,9,Education,168949204,15,0.0859,3800000,2483959,938607,0.3779,yellow
53178343,Yogyakarta,6,Property,540000000,11,0.0402,4000000,49178343,4090909,0.0832,green
6961369,Bali (Denpasar),8,Higher Education,200000000,21,0.0814,6500000,461369,793651,1.7202,red
7633825,Bali (Denpasar),8,Emergency Fund,39000000,16,0.1065,6500000,1133825,443396,0.3911,yellow
37955717,Medan,7,Higher Education,80000000,18,0.0793,3500000,34455717,370370,0.0107,green
14863748,Medan,7,Retirement,1152000000,14,0.0607,3500000,11363748,13576674,1.1947,red
5721536,Jakarta Utara,3,Custom,256211079,22,0.1473,6000000,0,2838955,1.0,red
6372880,Bandung,4,Retirement,1188000000,6,0.1488,5000000,1372880,22111578,2.0,red
5451038,Jakarta Pusat,2,Wedding,30000000,17,0.1095,7500000,0,337062,1.0,red
21887311,Jakarta Utara,3,Property,1260000000,20,0.0566,6000000,15887311,5250000,0.3305,yellow
7629288,Makassar,10,Property,770000000,18,0.0828,4200000,3429288,3564815,1.0395,red
24165281,Semarang,9,Custom,396320068,30,0.0681,3800000,20365281,4757979,0.2336,green
24264677,Surabaya,5,Wedding,80000000,28,0.0995,5500000,18764677,933364,0.0497,green
22658274,Bandung,4,Higher Education,80000000,21,0.0845,5000000,17658274,317460,0.018,green
14472145,Makassar,10,Property,990000000,11,0.1081,4200000,10272145,7500000,0.7301,red
15490231,Yogyakarta,6,Emergency Fund,24000000,18,0.1043,4000000,11490231,267402,0.0233,green
6892265,Semarang,9,Emergency Fund,22800000,26,0.0875,3800000,3092265,259838,0.084,green
24752808,Medan,7,Emergency Fund,21000000,19,0.0536,3500000,21252808,232745,0.011,green
10946128,Yogyakarta,6,Retirement,1800000000,10,0.0645,4000000,6946128,24433419,2.0,red
22091677,Semarang,9,Custom,249488057,23,0.0927,3800000,18291677,2776480,0.1518,green
21011605,Makassar,10,Retirement,2880000000,11,0.1079,4200000,16811605,37316495,2.0,red
5862371,Makassar,10,Wedding,30000000,14,0.087,4200000,1662371,353559,0.2127,green
10602091,Bali (Denpasar),8,Education,274324147,14,0.0562,6500000,4102091,1632882,0.3981,yellow
6885404,Semarang,9,Retirement,1800000000,13,0.1047,3800000,3085404,21757490,2.0,red
5967678,Bandung,4,Higher Education,120000000,24,0.0902,5000000,967678,416667,0.4306,yellow
23410819,Bali (Denpasar),8,Retirement,3360000000,19,0.1196,6500000,16910819,37239266,2.0,red
6419645,Medan,7,Emergency Fund,21000000,23,0.1402,3500000,2919645,233703,0.08,green
19030805,Bandung,4,Wedding,200000000,10,0.1018,5000000,14030805,2714824,0.1935,green
13650287,Jakarta Pusat,2,Wedding,200000000,17,0.119,7500000,6150287,2247077,0.3654,yellow
26250849,Semarang,9,Education,185993395,30,0.0635,3800000,22450849,516648,0.023,green
6572217,Jakarta Pusat,2,Wedding,30000000,23,0.1364,7500000,0,333861,1.0,red
6685394,Jakarta Pusat,2,Custom,83022807,13,0.0834,7500000,0,1003538,1.0,red
50105363,Semarang,9,Wedding,200000000,18,0.0405,3800000,46305363,2228351,0.0481,green
5733318,Semarang,9,Property,595000000,6,0.1023,3800000,1933318,8263889,2.0,red
6353616,Medan,7,Wedding,30000000,5,0.1031,3500000,2853616,638141,0.2236,green
7068630,Jakarta Selatan,1,Custom,61631899,19,0.142,8500000,0,683073,1.0,red
24012330,Yogyakarta,6,Education,144588856,6,0.0572,4000000,20012330,2008179,0.1003,green
6484735,Jakarta Utara,3,Emergency Fund,36000000,23,0.1437,6000000,484735,400634,0.8265,red
24128658,Yogyakarta,6,Wedding,30000000,5,0.0828,4000000,20128658,638141,0.0317,green
7479078,Surabaya,5,Custom,114108417,16,0.1167,5500000,1979078,1297314,0.6555,red
21610926,Jakarta Selatan,1,Wedding,80000000,11,0.0928,8500000,13110926,1036569,0.0791,green
47880203,Medan,7,Custom,237484333,18,0.0392,3500000,44380203,2645992,0.0596,green
20195050,Yogyakarta,6,Retirement,648000000,4,0.0622,4000000,16195050,16409334,1.0132,red
22761706,Makassar,10,Emergency Fund,25200000,24,0.09,4200000,18561706,282196,0.0152,green
11735686,Bali (Denpasar),8,Wedding,200000000,17,0.0529,6500000,5235686,2247077,0.4292,yellow
15209159,Bali (Denpasar),8,Emergency Fund,39000000,5,0.0604,6500000,8709159,829583,0.0953,green
51995977,Yogyakarta,6,Emergency Fund,24000000,18,0.0493,4000000,47995977,267402,0.0056,green
22785332,Yogyakarta,6,Custom,284824872,15,0.06,4000000,18785332,3289614,0.1751,green
5538744,Yogyakarta,6,Retirement,1512000000,23,0.083,4000000,1538744,16826608,2.0,red
15324129,Makassar,10,Higher Education,120000000,27,0.1102,4200000,11124129,370370,0.0333,green
24921305,Makassar,10,Retirement,2040000000,10,0.1113,4200000,20721305,27691209,1.3364,red
5350259,Jakarta Selatan,1,Higher Education,200000000,5,0.1078,8500000,0,3333333,1.0,red
7581470,Semarang,9,Retirement,3600000000,8,0.099,3800000,3781470,55404579,2.0,red
45260557,Bali (Denpasar),8,Retirement,576000000,17,0.0304,6500000,38760557,6471581,0.167,green
6143443,Bali (Denpasar),8,Wedding,200000000,30,0.1429,6500000,0,2401079,1.0,red
12112438,Jakarta Utara,3,Property,1008000000,11,0.0825,6000000,6112438,7636364,1.2493,red
6967846,Jakarta Selatan,1,Higher Education,200000000,17,0.102,8500000,0,980392,1.0,red
7082060,Yogyakarta,6,Wedding,30000000,20,0.1159,4000000,3082060,331662,0.1076,green
5735459,Jakarta Selatan,1,Education,117002933,21,0.1173,8500000,0,464297,1.0,red
21804851,Bali (Denpasar),8,Custom,326709539,18,0.1002,6500000,15304851,3640118,0.2378,green
14482387,Semarang,9,Custom,454590032,15,0.076,3800000,10682387,5250333,0.4915,yellow
20171088,Bandung,4,Custom,492912395,28,0.0862,5000000,15171088,5750834,0.3791,yellow
7959916,Bandung,4,Higher Education,120000000,12,0.1175,5000000,2959916,833333,0.2815,green
5607856,Bandung,4,Custom,139569938,12,0.1254,5000000,607856,1740608,2.0,red
28799710,Jakarta Selatan,1,Education,59176996,28,0.0341,8500000,20299710,176122,0.0087,green
21695673,Jakarta Selatan,1,Education,60487538,12,0.1111,8500000,13195673,420052,0.0318,green
11653494,Medan,7,Higher Education,200000000,6,0.0714,3500000,8153494,2777778,0.3407,yellow
38000188,Jakarta Utara,3,Higher Education,150000000,14,0.0379,6000000,32000188,892857,0.0279,green
12891153,Bali (Denpasar),8,Emergency Fund,39000000,9,0.0689,6500000,6391153,560202,0.0877,green
7765561,Bali (Denpasar),8,Education,196087854,11,0.1496,6500000,1265561,1485514,1.1738,red
23713132,Jakarta Selatan,1,Emergency Fund,51000000,19,0.0772,8500000,15213132,565239,0.0372,green
7422986,Yogyakarta,6,Wedding,80000000,10,0.1086,4000000,3422986,1085930,0.3172,yellow
6600807,Jakarta Selatan,1,Education,248265430,7,0.1426,8500000,0,2955541,1.0,red
11435293,Makassar,10,Property,990000000,22,0.076,4200000,7235293,3750000,0.5183,red
17805195,Jakarta Pusat,2,Education,292332531,23,0.0874,7500000,10305195,1059176,0.1028,green
7030210,Medan,7,Wedding,30000000,25,0.1018,3500000,3530210,338635,0.0959,green
5308547,Jakarta Pusat,2,Wedding,80000000,12,0.1424,7500000,0,997698,1.0,red
11700975,Bali (Denpasar),8,Higher Education,150000000,21,0.1144,6500000,5200975,595238,0.1144,green
7974206,Jakarta Utara,3,Property,2520000000,29,0.1087,6000000,1974206,7241379,2.0,red
21578382,Makassar,10,Custom,173692143,19,0.1007,4200000,17378382,1925050,0.1108,green
25608606,Bandung,4,Retirement,2520000000,15,0.0499,5000000,20608606,29104995,1.4123,red
20685440,Jakarta Pusat,2,Custom,291775031,11,0.0546,7500000,13185440,3780563,0.2867,green
17713108,Semarang,9,Emergency Fund,22800000,4,0.1017,3800000,13913108,577365,0.0415,green
6439100,Bandung,4,Retirement,1188000000,3,0.1472,5000000,1439100,38201625,2.0,red
5399459,Jakarta Pusat,2,Higher Education,80000000,12,0.1342,7500000,0,555556,1.0,red
18055109,Semarang,9,Wedding,80000000,22,0.0819,3800000,14255109,886443,0.0622,green
13160319,Bandung,4,Property,504000000,25,0.0658,5000000,8160319,1680000,0.2059,green
32894390,Surabaya,5,Property,1120000000,30,0.0705,5500000,27394390,3111111,0.1136,green
6673114,Makassar,10,Wedding,30000000,26,0.1233,4200000,2473114,341892,0.1382,green
6457352,Jakarta Utara,3,Emergency Fund,36000000,10,0.0843,6000000,457352,488668,1.0685,red
7717386,Bali (Denpasar),8,Retirement,648000000,30,0.1054,6500000,1217386,7779496,2.0,red
21914211,Jakarta Selatan,1,Emergency Fund,51000000,28,0.0775,8500000,13414211,595020,0.0444,green
20386605,Bali (Denpasar),8,Property,990000000,4,0.0708,6500000,13886605,20625000,1.4852,red
14033247,Bandung,4,Higher Education,120000000,13,0.0991,5000000,9033247,769231,0.0852,green
50799374,Jakarta Pusat,2,Custom,211599474,22,0.0469,7500000,43299374,2344635,0.0541,green
6184571,Jakarta Selatan,1,Wedding,30000000,5,0.1351,8500000,0,638141,1.0,red
15991005,Semarang,9,Education,138741508,10,0.1011,3800000,12191005,1156179,0.0948,green
22927422,Jakarta Selatan,1,Custom,314570180,19,0.0647,8500000,14427422,3486417,0.2417,green
6726426,Surabaya,5,Education,108193071,18,0.1283,5500000,1226426,500894,0.4084,yellow
16220352,Jakarta Utara,3,Custom,137404818,23,0.1034,6000000,10220352,1529138,0.1496,green
5342966,Medan,7,Retirement,4080000000,12,0.1342,3500000,1842966,50882596,2.0,red
10512932,Bali (Denpasar),8,Wedding,80000000,11,0.0741,6500000,4012932,1036569,0.2583,green
42289471,Makassar,10,Emergency Fund,25200000,5,0.0519,4200000,38089471,536038,0.0141,green
5842812,Bali (Denpasar),8,Property,1980000000,18,0.0865,6500000,0,9166667,1.0,red
6188366,Bali (Denpasar),8,Emergency Fund,39000000,30,0.1096,6500000,0,468210,1.0,red
5230732,Medan,7,Education,122982493,3,0.1301,3500000,1730732,3416180,1.9738,red
10489826,Bandung,4,Education,185974605,9,0.058,5000000,5489826,1721987,0.3137,yellow
36404240,Bandung,4,Wedding,80000000,22,0.0359,5000000,31404240,886443,0.0282,green
17694683,Bali (Denpasar),8,Wedding,30000000,25,0.0912,6500000,11194683,338635,0.0302,green
13985177,Makassar,10,Higher Education,200000000,18,0.0821,4200000,9785177,925926,0.0946,green
18729405,Makassar,10,Education,281644729,5,0.0893,4200000,14529405,4694079,0.3231,yellow
52067359,Surabaya,5,Emergency Fund,33000000,6,0.0644,5500000,46567359,614211,0.0132,green
13016252,Jakarta Selatan,1,Higher Education,200000000,3,0.1171,8500000,4516252,5555556,1.2301,red
6323431,Makassar,10,Emergency Fund,25200000,6,0.1093,4200000,2123431,469033,0.2209,green
6301464,Surabaya,5,Wedding,200000000,17,0.1033,5500000,801464,2247077,2.0,red
54252560,Jakarta Pusat,2,Custom,472486899,10,0.0552,7500000,46752560,6413595,0.1372,green
7328350,Medan,7,Property,405000000,23,0.1404,3500000,3828350,1467391,0.3833,yellow
7665054,Jakarta Selatan,1,Higher Education,120000000,30,0.0946,8500000,0,333333,1.0,red
18168581,Surabaya,5,Property,1120000000,25,0.0753,5500000,12668581,3733333,0.2947,green
18001111,Bandung,4,Emergency Fund,30000000,11,0.1033,5000000,13001111,388713,0.0299,green
21535349,Medan,7,Property,810000000,10,0.0892,3500000,18035349,6750000,0.3743,yellow
12971196,Jakarta Selatan,1,Retirement,2400000000,12,0.1031,8500000,4471196,29930939,2.0,red
7048885,Bali (Denpasar),8,Higher Education,80000000,18,0.0908,6500000,548885,370370,0.6748,red
11249539,Medan,7,Retirement,2376000000,27,0.0654,3500000,7749539,27378680,2.0,red
51937294,Jakarta Utara,3,Retirement,2400000000,6,0.0386,6000000,45937294,44669855,0.9724,red
7132064,Jakarta Selatan,1,Custom,457261969,16,0.1295,8500000,0,5198675,1.0,red
7496186,Jakarta Selatan,1,Education,74984227,10,0.1447,8500000,0,624869,1.0,red
5814245,Bandung,4,Retirement,684000000,7,0.1141,5000000,814245,11457818,2.0,red
26444441,Bandung,4,Property,980000000,10,0.0641,5000000,21444441,8166667,0.3808,yellow
5166397,Semarang,9,Education,125631635,5,0.109,3800000,1366397,2093861,1.5324,red
6925060,Yogyakarta,6,Property,360000000,3,0.1282,4000000,2925060,10000000,2.0,red
21489373,Yogyakarta,6,Retirement,2376000000,5,0.1109,4000000,17489373,50540750,2.0,red
21157932,Jakarta Utara,3,Education,159595224,3,0.1106,6000000,15157932,4433201,0.2925,green
6090977,Surabaya,5,Education,250491001,15,0.0968,5500000,590977,1391617,2.0,red
17312047,Jakarta Selatan,1,Emergency Fund,51000000,30,0.1162,8500000,8812047,612275,0.0695,green
6843264,Medan,7,Custom,69450418,26,0.0957,3500000,3343264,791484,0.2367,green
30916313,Semarang,9,Higher Education,200000000,26,0.0635,3800000,27116313,641026,0.0236,green
23914506,Jakarta Pusat,2,Emergency Fund,45000000,8,0.0888,7500000,16414506,692557,0.0422,green
18548555,Jakarta Pusat,2,Retirement,1440000000,28,0.0658,7500000,11048555,16800553,1.5206,red
18892780,Surabaya,5,Higher Education,150000000,17,0.0969,5500000,13392780,735294,0.0549,green
5559216,Makassar,10,Education,270701420,4,0.1368,4200000,1359216,5639613,2.0,red
6423937,Jakarta Selatan,1,Higher Education,120000000,4,0.0903,8500000,0,2500000,1.0,red
17034143,Jakarta Pusat,2,Emergency Fund,45000000,24,0.0652,7500000,9534143,503922,0.0529,green
23415848,Surabaya,5,Wedding,80000000,8,0.0723,5500000,17915848,1231213,0.0687,green
6323104,Jakarta Selatan,1,Education,167075237,9,0.125,8500000,0,1546993,1.0,red
21135713,Jakarta Selatan,1,Higher Education,120000000,10,0.1189,8500000,12635713,1000000,0.0791,green
6953100,Yogyakarta,6,Retirement,3360000000,4,0.0819,4000000,2953100,85085438,2.0,red
24724141,Jakarta Selatan,1,Retirement,792000000,7,0.1146,8500000,16224141,13266947,0.8177,red
5178913,Makassar,10,Higher Education,80000000,17,0.088,4200000,978913,392157,0.4006,yellow
15602029,Jakarta Utara,3,Custom,243602827,19,0.0853,6000000,9602029,2699878,0.2812,green
13863682,Yogyakarta,6,Higher Education,200000000,15,0.0977,4000000,9863682,1111111,0.1126,green
5377145,Jakarta Utara,3,Wedding,30000000,21,0.0911,6000000,0,331662,1.0,red
21791732,Semarang,9,Emergency Fund,22800000,26,0.1199,3800000,17991732,259838,0.0144,green
22074821,Makassar,10,Retirement,1080000000,17,0.1,4200000,17874821,12134215,0.6788,red
18394224,Semarang,9,Retirement,1512000000,11,0.0623,3800000,14594224,19591160,1.3424,red
5263268,Jakarta Pusat,2,Custom,70625158,23,0.095,7500000,0,785967,1.0,red
5851752,Yogyakarta,6,Property,450000000,26,0.1376,4000000,1851752,1442308,0.7789,red
32077528,Yogyakarta,6,Higher Education,200000000,20,0.0345,4000000,28077528,833333,0.0297,green
12879633,Bandung,4,Property,1680000000,21,0.0781,5000000,7879633,6666667,0.8461,red
5265557,Bandung,4,Wedding,30000000,16,0.14,5000000,265557,341074,1.2844,red
22910530,Bandung,4,Emergency Fund,30000000,14,0.0685,5000000,17910530,353559,0.0197,green
59745362,Medan,7,Emergency Fund,21000000,30,0.0532,3500000,56245362,252113,0.0045,green
7713915,Jakarta Utara,3,Retirement,4080000000,10,0.1096,6000000,1713915,55382417,2.0,red
6373441,Makassar,10,Higher Education,150000000,18,0.1485,4200000,2173441,694444,0.3195,yellow
7981993,Jakarta Pusat,2,Property,4560000000,16,0.1349,7500000,481993,23750000,2.0,red
10986854,Semarang,9,Property,382500000,22,0.0683,3800000,7186854,1448864,0.2016,green
6551044,Medan,7,Wedding,80000000,4,0.1022,3500000,3051044,2025844,0.664,red
15439890,Jakarta Pusat,2,Retirement,2160000000,7,0.106,7500000,7939890,36182582,2.0,red
18607361,Makassar,10,Property,495000000,16,0.1156,4200000,14407361,2578125,0.1789,green
13507726,Jakarta Utara,3,Emergency Fund,36000000,5,0.0787,6000000,7507726,765769,0.102,green
57083846,Jakarta Pusat,2,Higher Education,80000000,30,0.0488,7500000,49583846,222222,0.0045,green
6070313,Semarang,9,Education,203825294,13,0.1475,3800000,2270313,1306572,0.5755,red
6618942,Jakarta Selatan,1,Custom,488434878,26,0.1081,8500000,0,5566393,1.0,red
7498993,Bandung,4,Education,131458899,22,0.1426,5000000,2498993,497950,0.1993,green
10977580,Surabaya,5,Custom,424329248,18,0.0938,5500000,5477580,4727773,0.8631,red
13424803,Jakarta Selatan,1,Emergency Fund,51000000,7,0.1114,8500000,4924803,854311,0.1735,green
15227977,Makassar,10,Education,133989812,3,0.1095,4200000,11027977,3721939,0.3375,yellow
12434212,Makassar,10,Property,770000000,27,0.062,4200000,8234212,2376543,0.2886,green
7271917,Semarang,9,Property,595000000,19,0.114,3800000,3471917,2609649,0.7516,red
7654619,Jakarta Selatan,1,Custom,295910083,14,0.1187,8500000,0,3487391,1.0,red
42085458,Jakarta Pusat,2,Wedding,80000000,11,0.0619,7500000,34585458,1036569,0.03,green
14883652,Semarang,9,Property,382500000,14,0.0523,3800000,11083652,2276786,0.2054,green
6011214,Jakarta Utara,3,Retirement,1728000000,23,0.0991,6000000,11214,19230410,2.0,red
15925608,Bali (Denpasar),8,Retirement,1920000000,3,0.1182,6500000,9425608,61740000,2.0,red
7008983,Makassar,10,Higher Education,120000000,8,0.1443,4200000,2808983,1250000,0.445,yellow
23905182,Makassar,10,Custom,449213899,26,0.0859,4200000,19705182,5119415,0.2598,green
18579180,Jakarta Selatan,1,Higher Education,80000000,4,0.109,8500000,10079180,1666667,0.1654,green
13214505,Jakarta Utara,3,Wedding,80000000,10,0.0781,6000000,7214505,1085930,0.1505,green
17312914,Semarang,9,Retirement,1368000000,5,0.0778,3800000,13512914,29099220,2.0,red
7080088,Jakarta Selatan,1,Property,2940000000,11,0.1026,8500000,0,22272727,1.0,red
47944537,Yogyakarta,6,Wedding,80000000,19,0.0533,4000000,43944537,886649,0.0202,green
14369542,Makassar,10,Emergency Fund,25200000,15,0.0887,4200000,10169542,291050,0.0286,green
6196875,Semarang,9,Higher Education,150000000,25,0.1171,3800000,2396875,500000,0.2086,green
6496962,Makassar,10,Emergency Fund,25200000,3,0.1257,4200000,2296962,810338,0.3528,yellow
22828455,Yogyakarta,6,Custom,105880890,12,0.0717,4000000,18828455,1320464,0.0701,green
35758045,Bali (Denpasar),8,Retirement,2088000000,27,0.0352,6500000,29258045,24060052,0.8223,red
6049619,Yogyakarta,6,Education,161350269,9,0.128,4000000,2049619,1493984,0.7289,red
44781913,Bali (Denpasar),8,Education,121361947,19,0.0632,6500000,38281913,532289,0.0139,green
7640893,Semarang,9,Property,382500000,29,0.1407,3800000,3840893,1099138,0.2862,green
7101973,Semarang,9,Higher Education,120000000,16,0.1129,3800000,3301973,625000,0.1893,green
18957261,Semarang,9,Retirement,1224000000,22,0.0728,3800000,15157261,13562572,0.8948,red
6698614,Makassar,10,Education,175217488,8,0.1145,4200000,2498614,1825182,0.7305,red
33094250,Bali (Denpasar),8,Education,279905426,22,0.0311,6500000,26594250,1060248,0.0399,green
7452429,Medan,7,Property,630000000,18,0.1436,3500000,3952429,2916667,0.7379,red
37816889,Jakarta Selatan,1,Custom,405900024,23,0.067,8500000,29316889,4517143,0.1541,green
19205597,Makassar,10,Education,270563281,8,0.0856,4200000,15005597,2818368,0.1878,green
24303603,Semarang,9,Property,382500000,25,0.0842,3800000,20503603,1275000,0.0622,green
20834565,Makassar,10,Emergency Fund,25200000,26,0.0627,4200000,16634565,287189,0.0173,green
23789158,Jakarta Utara,3,Property,1260000000,22,0.0849,6000000,17789158,4772727,0.2683,green
15850574,Bali (Denpasar),8,Wedding,30000000,23,0.0636,6500000,9350574,333861,0.0357,green
23340798,Semarang,9,Retirement,2016000000,12,0.0551,3800000,19540798,25141989,1.2866,red
6943134,Jakarta Selatan,1,Retirement,1656000000,26,0.1191,8500000,0,18872417,1.0,red
6069124,Semarang,9,Property,306000000,10,0.0824,3800000,2269124,2550000,1.1238,red
7443963,Jakarta Pusat,2,Property,4560000000,5,0.1494,7500000,0,76000000,1.0,red
7712931,Jakarta Selatan,1,Emergency Fund,51000000,20,0.0891,8500000,0,563826,1.0,red
17911541,Yogyakarta,6,Custom,345132027,11,0.1098,4000000,13911541,4471916,0.3215,yellow
13081514,Yogyakarta,6,Wedding,80000000,8,0.0606,4000000,9081514,1231213,0.1356,green
35055493,Bali (Denpasar),8,Higher Education,200000000,30,0.045,6500000,28555493,555556,0.0195,green
15570445,Semarang,9,Custom,60055220,10,0.0951,3800000,11770445,815197,0.0693,green
6183022,Jakarta Selatan,1,Property,1890000000,30,0.0871,8500000,0,5250000,1.0,red
23780856,Bandung,4,Custom,458476404,7,0.1017,5000000,18780856,7680028,0.4089,yellow
6484331,Medan,7,Higher Education,200000000,16,0.095,3500000,2984331,1041667,0.349,yellow
5552090,Medan,7,Wedding,80000000,25,0.0908,3500000,2052090,903028,0.4401,yellow
23175034,Jakarta Utara,3,Property,1008000000,21,0.0962,6000000,17175034,4000000,0.2329,green
21919402,Jakarta Pusat,2,Higher Education,80000000,7,0.116,7500000,14419402,952381,0.066,green
22904309,Medan,7,Wedding,80000000,6,0.0702,3500000,19404309,1488995,0.0767,green
5095525,Jakarta Pusat,2,Property,1368000000,11,0.1227,7500000,0,10363636,1.0,red
5873237,Semarang,9,Retirement,1152000000,21,0.139,3800000,2073237,12735829,2.0,red
45795578,Jakarta Pusat,2,Education,221468114,27,0.0405,7500000,38295578,683544,0.0178,green
24810168,Medan,7,Education,192612434,8,0.1015,3500000,21310168,2006380,0.0942,green
43834029,Surabaya,5,Education,158822833,28,0.0531,5500000,38334029,472687,0.0123,green
7780366,Jakarta Utara,3,Wedding,80000000,15,0.1312,6000000,1780366,923968,0.519,red
23143349,Yogyakarta,6,Emergency Fund,24000000,6,0.0576,4000000,19143349,446699,0.0233,green
24664231,Surabaya,5,Custom,61726049,6,0.0636,5500000,19164231,1148872,0.0599,green
12483453,Jakarta Selatan,1,Emergency Fund,51000000,18,0.1027,8500000,3983453,568230,0.1426,green
13067656,Jakarta Selatan,1,Custom,321130102,8,0.1157,8500000,4567656,4942244,1.082,red
5429888,Jakarta Utara,3,Property,1960000000,17,0.0826,6000000,0,9607843,1.0,red
5604332,Semarang,9,Emergency Fund,22800000,14,0.1077,3800000,1804332,268705,0.1489,green
6129112,Jakarta Selatan,1,Education,161842119,22,0.0877,8500000,0,613038,1.0,red
18163746,Jakarta Pusat,2,Custom,74925829,21,0.0936,7500000,10663746,828336,0.0777,green
6208597,Jakarta Selatan,1,Wedding,200000000,13,0.1169,8500000,0,2417499,1.0,red
5832586,Makassar,10,Retirement,1800000000,8,0.1024,4200000,1632586,27702290,2.0,red
21834658,Jakarta Utara,3,Property,1512000000,8,0.0583,6000000,15834658,15750000,0.9947,red
7046688,Bali (Denpasar),8,Retirement,3600000000,18,0.0858,6500000,546688,40110321,2.0,red
49763847,Medan,7,Wedding,30000000,4,0.0306,3500000,46263847,759691,0.0164,green
7816132,Yogyakarta,6,Property,900000000,24,0.1457,4000000,3816132,3125000,0.8189,red
18245264,Surabaya,5,Custom,94722251,16,0.0663,5500000,12745264,1076910,0.0845,green
17708818,Bandung,4,Education,92905838,12,0.0514,5000000,12708818,645179,0.0508,green
16026178,Jakarta Utara,3,Property,1512000000,13,0.1037,6000000,10026178,9692308,0.9667,red
6437976,Jakarta Selatan,1,Higher Education,200000000,6,0.1202,8500000,0,2777778,1.0,red
21764421,Bali (Denpasar),8,Education,176562934,17,0.0768,6500000,15264421,865505,0.0567,green
10584871,Jakarta Pusat,2,Higher Education,120000000,12,0.08,7500000,3084871,833333,0.2701,green
20573694,Surabaya,5,Retirement,1044000000,27,0.1086,5500000,15073694,12030026,0.7981,red
19269596,Bali (Denpasar),8,Higher Education,80000000,5,0.0769,6500000,12769596,1333333,0.1044,green
47913656,Jakarta Utara,3,Custom,98154803,12,0.0744,6000000,41913656,1224111,0.0292,green
10960001,Yogyakarta,6,Higher Education,150000000,14,0.1127,4000000,6960001,892857,0.1283,green
18261486,Bandung,4,Education,74172429,3,0.0558,5000000,13261486,2060345,0.1554,green
23663128,Medan,7,Education,108215997,9,0.0953,3500000,20163128,1002000,0.0497,green
7990288,Jakarta Pusat,2,Education,113209051,27,0.0879,7500000,490288,349411,0.7127,red
7164542,Semarang,9,Education,114026773,25,0.0975,3800000,3364542,380089,0.113,green
16878232,Bandung,4,Property,504000000,5,0.1155,5000000,11878232,8400000,0.7072,red
23055382,Jakarta Utara,3,Emergency Fund,36000000,19,0.0671,6000000,17055382,398992,0.0234,green
